Tweet,FINAL LABEL,Tweet_Preprocess,Tweet_New
"@quinnturilla omg tysm jijel!!ðŸ«¶ðŸ«¶
jijel ptm atau daring kah?",0.0,"['omg', 'tysm', 'jijel', '', '', '', '', 'jijel', 'ptm', 'daring', 'kah']",omg tysm jijel jijel ptm daring kah
@convomf pts daring,0.0,"['pts', 'daring']",pts daring
Bismillah hujan lebat biar daring wkwwk,1.0,"['bismillah', 'hujan', 'lebat', 'biar', 'daring', 'wkwwk']",bismillah hujan lebat biar daring wkwwk
males bngt Sekarang pelajaran b.sunda sama pjok. untungnya daring,1.0,"['males', 'bngt', 'ajar', 'bsunda', 'pjok', 'untung', 'daring']",males bngt ajar bsunda pjok untung daring
ðŸ’™ daring gak?,0.0,"['', '', '', 'daring', 'gak']",daring gak
Rina Susanti's Blog: Bolu Kukus Nusa Rasa Menghangatkan Moment Silaturahmi #RasanyaSpesial @mama_daring #bolunusarasa https://t.co/tBNmzIMExK,0.0,"['rina', 'susantis', 'blog', 'bolu', 'kukus', 'nusa', 'hangat', 'moment', 'silaturahmi', 'daring']",rina susantis blog bolu kukus nusa hangat moment silaturahmi daring
"3. Kemenkumham Sulsel: Kegiatan pengutan dan pengarahan pada UPT Lapas dan Rutan via daring sesuai dengan surat edaran Direktur Jenderal Pemasyarakatan Nomor PAS-478:PK.08.05 Tahun 2022.
@Kemenkumham_RI
@Kumham_Sulsel
#KumhamPasti
#KumhamSulsel",0.0,"['kemenkumham', 'sulsel', 'giat', 'pengutan', 'arah', 'upt', 'lapas', 'rutan', 'via', 'daring', 'sesuai', 'surat', 'edar', 'direktur', 'jenderal', 'masyarakat', 'nomor', 'paspk', 'ri', 'sulsel']",kemenkumham sulsel giat pengutan arah upt lapas rutan via daring sesuai surat edar direktur jenderal masyarakat nomor paspk ri sulsel
"2. Kemenkumham Sulsel: Kegiatan pengutan dan pengarahan pada UPT Lapas dan Rutan via daring guna meningkatkan kewaspadaan selama Bulan Suci Ramadhan dan Hari Raya Idul Fitri 1443 H.
@Kemenkumham_RI
@Kumham_Sulsel
#KumhamPasti
#KumhamSulsel",0.0,"['kemenkumham', 'sulsel', 'giat', 'pengutan', 'arah', 'upt', 'lapas', 'rutan', 'via', 'daring', 'tingkat', 'waspada', 'suci', 'ramadhan', 'raya', 'idul', 'fitri', 'h', 'ri', 'sulsel']",kemenkumham sulsel giat pengutan arah upt lapas rutan via daring tingkat waspada suci ramadhan raya idul fitri h ri sulsel
"@rielvaa pagii, daring",0.0,"['pagi', 'daring']",pagi daring
"@LazadaID Jawabannya 4 Ribu, alasannya pingin kasi anak HP buat belajar Daring semoga beruntung",0.0,"['jawab', 'ribu', 'alas', 'pingin', 'kasi', 'anak', 'hp', 'ajar', 'daring', 'moga', 'untung']",jawab ribu alas pingin kasi anak hp ajar daring moga untung
"1. Kadivmin Kemenkumham Sulsel Sirajuddin memberi penguatan tugas pokok dan fungsi kepada 223 CPNS Kanwil Kemenkumham Sulsel secara daring di ruang rapat Kanwil, Selasa (05/04).
@Kemenkumham_RI
@Kumham_Sulsel
#KumhamPasti
#KumhamSulsel",0.0,"['kadivmin', 'kemenkumham', 'sulsel', 'sirajuddin', 'kuat', 'tugas', 'pokok', 'fungsi', 'cpns', 'kanwil', 'kemenkumham', 'sulsel', 'daring', 'ruang', 'rapat', 'kanwil', 'selasa', 'ri', 'sulsel']",kadivmin kemenkumham sulsel sirajuddin kuat tugas pokok fungsi cpns kanwil kemenkumham sulsel daring ruang rapat kanwil selasa ri sulsel
"Kuy baca pengalamanku berkenalan dengan Bolu Susu Lembang  

https://t.co/9dt42yhr5W

@mama_daring 
#CheseCakenyaLembang
#MamaDaring",0.0,"['kuy', 'baca', 'alam', 'nal', 'bolu', 'susu', 'lembang', 'daring']",kuy baca alam nal bolu susu lembang daring
"RT @TelkomIndonesia: Perubahan perilaku masyarakat akibat pandemi melatarbelakangi hal ini, seperti bekerja dari jarak jauh, belajar daringâ€¦",0.0,"['ubah', 'perilaku', 'masyarakat', 'akibat', 'pandemi', 'melatarbelakangi', 'jarak', 'ajar', 'daring']",ubah perilaku masyarakat akibat pandemi melatarbelakangi jarak ajar daring
"@collegemenfess Irit banget, aku kalo daring sehari habis 2 GB",1.0,"['irit', 'banget', 'kalo', 'daring', 'hari', 'habis', 'gb']",irit banget kalo daring hari habis gb
"Ada varian baru dari Bolu Enak ini, lho. Cus ke postinganku utk tahu lebih lanjut. â˜º
https://t.co/IYgCnUnfB7

@mama_daring #MamaDaring #CheeseCakenyaLembang https://t.co/yUXvKHoP0s",0.0,"['varian', 'bolu', 'enak', 'lho', 'cus', 'postinganku', 'utk', '', 'daring']",varian bolu enak lho cus postinganku utk daring
[cm] kuota internet 20GB 20hari itu termasuk boros ? Btw aku kuliahnya masih daring,0.0,"['cm', 'kuota', 'internet', 'gb', 'boros', 'btw', 'kuliah', 'daring']",cm kuota internet gb boros btw kuliah daring
@kixyst âœ‹ðŸ»âœ‹ðŸ»âœ‹ðŸ» KALO DARING AKU BAWAANYA NGANTUK LAGI SHDBRHBFHEH,-1.0,"['', '', '', '', '', '', 'kalo', 'daring', 'bawaanya', 'ngantuk', 'shdbrhbfheh']",kalo daring bawaanya ngantuk shdbrhbfheh
zuzur ak tu males sekolah. pgnnya daring aja bisa gaa,1.0,"['zuzur', 'ak', 'tu', 'males', 'sekolah', 'pgnnya', 'daring', 'aja', 'gaa']",zuzur ak tu males sekolah pgnnya daring aja gaa
@tanyakanrl masih daring,0.0,['daring'],daring
daring adalah cocok buatku yang introvert ini,1.0,"['daring', 'cocok', 'buat', 'introvert']",daring cocok buat introvert
ayo daring aja dah,1.0,"['ayo', 'daring', 'aja', 'dah']",ayo daring aja dah
ku kira besok daring hadehhhðŸš¶ðŸš¶ðŸš¶,1.0,"['ku', 'besok', 'daring', 'hadehhh']",ku besok daring hadehhh
Meowning semuaa hari ini aku daring lagi krn sekolahnya dipake kelas 3 buat LUSðŸ˜žðŸ˜žðŸ˜ž,-1.0,"['meowning', 'semuaa', 'daring', 'krn', 'sekolah', 'dipake', 'kelas', 'lus']",meowning semuaa daring krn sekolah dipake kelas lus
@martereinn Gpp daring jgx enak bsa tidor,1.0,"['gpp', 'daring', 'jgx', 'enak', 'bsa', 'tidor']",gpp daring jgx enak bsa tidor
@SuhaibAK22 Daring karna hai khudkhushi nahi karni,0.0,"['daring', 'karna', 'hai', 'khudkhushi', 'nahi', 'karni']",daring karna hai khudkhushi nahi karni
"@hourlykir @stroberibery16 @sbmptnfess Yakan apalagi kelas 2 tahunan daring kek ini gimana, ptm aja masih ngang ngong. Tiba tiba masuk udah suruh ujian praktek aja, Gusti ðŸ˜­",-1.0,"['yakan', 'kelas', 'tahun', 'daring', 'kek', 'gimana', 'ptm', 'aja', 'ngang', 'ngong', 'masuk', 'udah', 'suruh', 'uji', 'praktek', 'aja', 'gusti', '']",yakan kelas tahun daring kek gimana ptm aja ngang ngong masuk udah suruh uji praktek aja gusti
@__kimidae u skolah ap daring,0.0,"['kimidae', 'u', 'skolah', 'ap', 'daring']",kimidae u skolah ap daring
"@imgcbriel Morning Kak Gabe!

Aku masih bingung, kak. Ga ada info, kalaupun sekolah mungkin daring sih, yah ...",0.0,"['morning', 'kak', 'gabe', 'bingung', 'kak', 'ga', 'info', 'sekolah', 'daring', 'sih', 'yah']",morning kak gabe bingung kak ga info sekolah daring sih yah
"@chococehips daring doang pas pagi, abis itu nganggur atau ga nugas. julia sendiri gimna?",0.0,"['daring', 'doang', 'pas', 'pagi', 'abis', 'nganggur', 'ga', 'nugas', 'julia', 'gimna']",daring doang pas pagi abis nganggur ga nugas julia gimna
@jisungcow ak daring,0.0,"['ak', 'daring']",ak daring
"@loafshxuxi Daring, tapi kebagian kelas siang",0.0,"['daring', 'bagi', 'kelas', 'siang']",daring bagi kelas siang
gue pindah jogja aja apa ya biar gue masuk daring,1.0,"['gue', 'pindah', 'jogja', 'aja', 'ya', 'biar', 'gue', 'masuk', 'daring']",gue pindah jogja aja ya biar gue masuk daring
pengen daring woyyyy,1.0,"['ken', 'daring', 'woyyyy']",ken daring woyyyy
"Halo #SobATRBPN Kab Bantul ðŸ™Œ

#Repost @atr_bpn

Menteri ATR/BPN, Sofyan A. Djalil menjadi keynote speaker dlm acara FGD yg diadakan oleh mahasiswa Wisma Foba yg bertajuk ""Peluang dan Tantangan SDM Aceh dalam Menyongsong Indonesia Emas 2045"" secara daring pada Kamis (31/03/2022). https://t.co/fyCYXd1Uup",0.0,"['halo', 'kab', 'bantul', '', 'bpn', 'menteri', 'atrbpn', 'sofyan', 'a', 'djalil', 'keynote', 'speaker', 'dlm', 'acara', 'fgd', 'yg', 'ada', 'mahasiswa', 'wisma', 'foba', 'yg', 'tajuk', 'peluang', 'tantang', 'sdm', 'aceh', 'songsong', 'indonesia', 'emas', 'daring', 'kamis']",halo kab bantul bpn menteri atrbpn sofyan a djalil keynote speaker dlm acara fgd yg ada mahasiswa wisma foba yg tajuk peluang tantang sdm aceh songsong indonesia emas daring kamis
daring deng ternyata wakwkak gue ketipu,0.0,"['daring', 'deng', 'wakwkak', 'gue', 'tipu']",daring deng wakwkak gue tipu
abis daring langsung tidur sampe maghrib,1.0,"['abis', 'daring', 'langsung', 'tidur', 'sampe', 'maghrib']",abis daring langsung tidur sampe maghrib
kalian hari ini daring / offline?,0.0,"['daring', 'offline']",daring offline
